연도,시도,시군구,졸업자,진학자, 진학률 
2020,경남,거제시,"2,785","2,057",73.9
2020,경남,양산시,"3,225","2,781",86.2
2020,경남,의령군,160,127,79.4
2020,경남,함안군,508,414,81.5
2020,경남,창녕군,616,412,66.9
2020,경남,고성군,533,350,65.7
2020,경남,남해군,444,335,75.5
2020,경남,하동군,278,235,84.5
2020,경남,산청군,271,181,66.8
2020,경남,함양군,320,165,51.6
2020,경남,거창군,758,667,88
2020,경남,합천군,268,202,75.4
2020,제주,제주시,"5,304","3,334",62.9
2020,제주,서귀포시,"1,624","1,098",67.6
